Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity
Identify covering strong enough to support any loads likely to be placed on it ; and fixed in position to prevent accidental dislodgement. ,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Avoid risk of objects falling from holes/openings on workers below.,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Provide requisite guardrails and toe boards at all slab openings.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Provide warning markings and/or colour change.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Provide protective grate to support weight of person over opening.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Use safety nets fixed directly below the opening.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Inform contractor to Design-in permanent cast-in sockets around floor openings to enable early installation of permanent railings.,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Identify safe working load  (swl) of temporary covers in slab floor and specify fixings,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Securely fix  cover with adequate safe working load (SWL) over opening with fixings requiring a tool. ,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Inspect protective measures regularly,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Ensure work is carried out only when weather conditions do not jeopardise the   health and safety of the workers.,,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
"Provide safe lighting levels, including access and depression.",,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider indicating pathways and adding tie-offs.(Clarify please),,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Every temporary floor opening shall be constantly attended by someone.,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Inform Site team of any activities when covers or guardrails need to be removed.,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Site team required to highlight and report any changes  on-site affecting the design ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Contractor should identify all remaining opening/edges and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider use of transition blocks for services to pass through.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider Steel frame construction with composite floor slabs,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Design alternative solutions to the opening ,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider forming full slab and cutting out openings when needed,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider Location of penetration,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Design solution should consider construction and in-use needs.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Consider the floor material to prevent slippery surface near openings.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Design in cast in sockets for handrail protection,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Leave creation of penetrations later date in schedule,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Create walkways with signs and barriers to avoid the openings,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Inform contractor of need for  inspection at suitable intervals ,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Housekeeping on site to prevent trip hazards near openings.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Use safety nets fixed over the hole to catch falling objects.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Provide warning markings and/or colour change.,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Combine multiple penetrations in to lesser number,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Ensure that the building height and area per floor meet all local building code requirements for the type of construction used.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
"Minimize the number of offsets, and make the offsets a consistent size and as large as possible for the floor layout.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Engage Structural engineer with architects to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Provide adequate railing or other means of fall protection along exposed perimeter of the building.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Consider  the design of cladding and joints  of walls  to ensure  that the interface of slab and vertical element is managed.,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Inform the contractor to assess the formwork and falsework to be used (how it works with the construction sequence and building shape).,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Provide requisite guardrails and toe boards at all slab edges.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Inform contractor to Design-in permanent cast-in sockets around floor openings to enable early installation of permanent railings.,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Inspect protective measures regularly,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Ensure work is carried out only when weather conditions do not jeopardise the   health and safety of the workers.,,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Site team required to highlight and report any changes  on-site affecting the design ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Contractor should identify all remaining opening/edges and check  the selected permanent safety ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Contractor should identify all remaining opening/edges and check  the selected permanent safety ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Consider pre cast sections with edge protection,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Consider steel frame which is easier to manage and can be lifted with edge protection attached,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Ensure falsework can be used for edge protection,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Consider staged perimeter construction prior to casting floor slabs,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Cast in slots for edge protection,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Install internal precast staircases as construction progresses,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Design in hooks for netting,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Structural engineer to understand system of erection,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Provide good access and ground conditions to area,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Programme for the project to take activities into consideration to reduce exposure to edges,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Install walkway routes to avoid edge,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Schedule to consider critical path for progressive construction,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Erect scaffolding to progressively protect edges,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Adequate access equipment MEWPs etc..,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Prevent fall by safety netting,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Install anchor point for harness,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Operatives to wear harnesses near edge.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Opening,In situ concrete,Install construction
Avoid designing equipment or elevated features next to roof edges.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Avoid roof mounted extractors that require manual inspection or maintenance,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
"Where necessary to locate equipment within 3m from edge of roof, provide railings or means of securing fall protection devices with appropriate signage.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Integrate upstands at edge details.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Preferably design minimum 1.1. m height parapets or railings at all roof edges.,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Avoid specifying fragile materials for skylights.,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Structural engineer liaises with architects during design phase to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Gantry systems can be designed to maintain atriums and skylights.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Provide adequate railing or other means of fall protection along exposed perimeter of the building,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
"Provide safe access directly to all roof levels or from level to level (protected ladder, ships ladder, stairs).",,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
"If height parapets or railings at all roof edges of min 1.1 are not designed, alternatively, provide safety line anchor points along all roof edges.",,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Provide re-bars in skylight frame to avoid fall if skylight should break.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Guard  every skylight opening and hole by skylight screen or a fixed standard railing on all exposed sides.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Install permanent anchorage points on roof slabs to provide permanent anchor points for fall arrest systems.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
"If a walkway on a roof  is to be designed for equipment operation and maintenance, the related requirements must be followed. Link …..",,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
"Once roof anchors are  installed ,it is generally the responsibility of the building owner to inspect and maintain roof anchors to ensure their continued and reliable performance.",,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Contractor should identify all remaining opening/edges and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Opening,In situ concrete,Install construction
Design components to facilitate prefabrication at ground level and erection as complete assemblies.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Designers should consider the sequences of construction between the temporary state and the finished state.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Minimize number of offsets in building plan and make offsets a consistent size and as large as possible to simplify work area for construction workers.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
"Where possible, specify shop welded connections instead of bolts or field welds to avoid dangerous or awkward positions for the welder or connector.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Ensure swl floor slabs is adequate to support MEWPs  for fixing at height. ,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Provide adequate safety standards for installing joist.,,Preliminary Design,Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Avoid hanging connections—design to bear on columns instead. ,,Detail Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Avoid connections or protrusions above floor framing members,,Detail Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
"Specify safety seats for beam connections, markings for orientation, and secure connections and anchoring systems.",,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Use safety nets or soft landing bags to mitigate consequences of falls between joists,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Design adequate anchorage points for fall restraint systems,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Use of harness at heights,,Pre construction,Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Establish a clear and consistent beam marking system to help workers orient themselves to hazards in certain sections of the structure and increase erection speed.,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Contractor should identify all remaining beam spacing and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction
Avoid designing In-situ stairways.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Consider using prefabricated or ground-assembled stairways which can be erected as one assembly.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
"If in-stu are unavoidable , consider designing stairs that can be built using stair-masters, which are with permanent framework and permanent rails pre-attached.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
"Locate exterior stairs and ramps on the sheltered side of the structure (parallel to the building) to protect them from rain, snow, and ice.",,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Avoid stair landings constructed separate from the stairs.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Maintain a uniform stair slope throughout the project.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
The spacing between vertical stair rails should be less than 100 mm to prevent children’s legs from slipping through the gap.,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Provide railing on all exposed sides (except at entrance to stairway),,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Specify staircases to have sockets casted in the concrete or welded in steel sections on open sides/edges to fix guardrails during construction.,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Provide engineering documents and schedule permanent stairways to be constructed as soon as possible.,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
"Design and schedule handrails, guardrails, and stair rails to be erected as part of the structural steel erection.",,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
"Establish survey control ""permanently"" so that when structures are erected, survey control monuments are still accessible.",,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Provide broom finish on all exposed concrete stair surfaces,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Contractor should identify all remaining stairs and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction
Use prefabricated riser on buildings,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Design of temporary works for gaining access at height in shaft.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Chases or holes should be detailed to be cast into the unit and not cut or drilled later,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Information on permanent walls,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
"Mount emergency lighting in stairwells to be easily accessible, and avoid locations over treads.",,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Cast in provision for guardrails at shaft openings.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Information to contractor -specify activities that will require access at height to shaft to resource and plan for access measures,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Competent person to sign off any access arrangements at height in the shaft,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction
Maximize prefabrication on the ground level  and minimize the need of fixing in heights.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Liaise with contractor  to identify the most appropriate edge protection,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Davits can be installed to provide a permanent suspension system.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Monorail systems can be installed be used to suspend work platforms.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Reduce the need to handle heavy glazing units. ,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Develop cladding details to provide primary attachments that are safe and easy to use in all locations,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Design elements so that they can be cleaned and replaced safely.,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Locate to be easily accessible by maintenance staff.,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
If bespoke cladding to be used - carry out design review with specialist contractor and suppliers,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Coordinate with structure engineers to ensure primary fixings are safe and easy to install.,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
"Ensure the safe access for cleaning, inspection and maintenance.",,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Provide roof anchor points for using harness for cleaning near edges.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Conisder operable windows for cleaning from inside.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Consider access needs for cherry pickers for maintenace and cleaning,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
Maximize the use of mechanical handling.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction
"Where practical, specify prefabricated roof structures, rather than individual members.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Consider designing low-pitch roofs  (less than 30 degree),,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Design roof structure with a maximum spacing of 600 mm between trusses and rafters.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Prefabricate roof structures on ground to minimise work at height,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
"Where practical, consider including a permanent safety mesh underneath the roof.",,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Provide re-bars in skylight frame to avoid fall if skylight should break.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
The fragile roof area should be enclosed by permeant guardrails.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Install permanent anchorage points on roof slabs to provide permanent tie-offs points for fall arrest systems.,,Pre construction,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
A permanent warning sign to be fixed near the area where the roof is covered with fragile material.,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Consider alternatives to tube and fitting scaffoldings. ,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Make provisions for scaffolding or anchors.,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Inform designers to provide the information required to help the temporary works coordinator,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Consider potential for designing temporary works which can become permanent i.e. do not require removal,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
A metal bracket is permanently connected to a concrete floor deck or steel.,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
"Scaffolds should be designed, erected, altered and dismantled only by competent people and the work should always be carried out under the direction of a competent supervisor.",,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Ensure that the preferred solution takes advantage of new developments in access equipment.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
TW designer to specify when permanent strength of structure is achieved and temporary supports can be removed,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Contractor to identify safety critical elements of temporary works and ensure site operatives understand which elements  cannot be disturbed. ,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
